vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,High
-0.03,-28.0,-1.35,-2.74,12.46,18.13,-10.0,9179.64
0.58,-35.0,-1.53,-2.97,11.71,17.15,-10.0,9148.93
0.0,-31.0,-1.49,-2.96,12.6,18.17,-13.0,9170.77
0.05,-31.0,-1.38,-2.76,11.86,17.59,-10.0,9185.5
0.53,-33.0,-1.54,-2.99,12.05,17.48,-13.0,9153.94
0.42,-35.0,-1.46,-2.82,11.42,17.03,-11.0,9162.3
0.13,-30.0,-1.36,-2.7,12.25,17.88,-12.0,9175.95
-0.03,-29.0,-1.39,-2.8,12.5,17.96,-10.0,9176.41
0.05,-29.0,-1.44,-2.92,12.56,18.35,-12.0,9180.67
0.13,-31.0,-1.44,-2.92,12.5,18.15,-15.0,9184.97
-1.05,0.0,-0.14,1.09,4.64,12.8,0.0,9332.89
-1.71,0.0,-0.01,1.22,5.54,19.88,-4.0,9351.33
-2.0,2.0,0.0,1.46,6.18,24.85,-4.0,9352.14
-2.42,3.0,0.14,1.58,6.32,27.81,-4.0,9352.69
-2.16,3.0,0.1,1.47,5.81,24.68,-4.0,9350.62
-2.13,3.0,0.07,1.51,6.19,27.2,-4.0,9348.58
-2.08,3.0,0.21,1.52,5.48,22.58,-5.0,9361.74
-3.81,3.0,0.21,1.46,7.38,29.85,-5.0,9361.93
-1.45,-3.0,-0.04,1.16,5.46,17.55,-4.0,9346.91
-0.66,-3.0,-0.2,0.94,4.9,13.2,1.0,9325.53
-3.63,4.0,0.31,1.67,6.86,30.04,-7.0,9370.7
-4.68,5.0,0.63,2.38,12.42,34.15,-2.0,9417.58
-4.07,5.0,0.43,2.18,10.94,35.96,-3.0,9382.73
-3.42,5.0,0.03,1.41,9.18,27.06,-4.0,9357.09
-2.21,5.0,0.14,1.51,5.15,23.4,-5.0,9353.86
-3.73,5.0,0.32,1.7,6.66,28.69,-6.0,9372.48
-4.13,5.0,0.44,1.68,9.28,30.32,-10.0,9388.35
-3.92,5.0,0.22,1.44,9.13,28.37,-10.0,9371.68
-0.97,-5.0,-0.19,1.01,5.06,14.52,-2.0,9331.02
-1.34,-5.0,-0.16,0.97,5.34,16.95,-1.0,9336.43
-5.81,6.0,0.67,2.24,11.97,27.09,-3.0,9427.04
-2.16,6.0,0.14,1.59,6.31,25.06,-5.0,9353.79
-2.76,6.0,0.17,1.65,6.58,27.94,-6.0,9359.92
-4.73,7.0,0.66,2.36,12.8,33.69,-2.0,9421.15
-5.76,7.0,0.67,2.27,12.18,26.52,-3.0,9429.36
-2.26,7.0,0.16,1.65,6.22,27.02,-6.0,9355.6
-4.94,8.0,0.71,2.4,10.39,33.55,-4.0,9426.14
-4.05,8.0,0.49,1.96,9.16,32.38,-7.0,9389.9
-5.42,8.0,0.8,2.6,11.31,32.1,-7.0,9436.13
-4.1,8.0,0.65,2.32,9.87,34.53,-10.0,9408.78
