vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Low
-2.04,16.0,-0.3,0.14,18.31,11.2,0.0,9220.7
-2.93,-29.0,-0.79,-0.81,21.02,0.15,2.0,9175.3
-3.32,-29.0,-0.8,-0.81,19.47,-0.64,2.0,9177.33
-3.03,-13.0,-0.58,-0.64,22.78,0.84,4.0,9196.26
-2.38,-7.0,-0.67,-0.92,24.4,2.38,4.0,9182.03
-2.81,-19.0,-0.75,-0.68,23.89,0.33,4.0,9180.96
-3.56,-29.0,-0.75,-0.79,17.91,-3.1,4.0,9184.88
-1.94,15.0,-0.46,-0.02,17.37,9.97,5.0,9199.53
-2.42,-4.0,-0.63,-0.73,24.35,2.44,6.0,9185.31
-2.79,-22.0,-0.86,-0.8,22.2,0.6,6.0,9159.65
-2.74,-25.0,-0.96,-1.0,22.19,0.63,6.0,9162.4
-2.84,-29.0,-0.98,-1.04,21.5,0.46,6.0,9159.71
-1.84,16.0,-0.53,-0.14,16.08,6.43,7.0,9188.89
-1.79,-1.0,-0.53,-0.36,19.01,11.59,7.0,9195.26
-2.18,-6.0,-0.57,-0.72,21.72,4.63,7.0,9190.64
-2.28,-6.0,-0.66,-0.77,24.33,3.13,7.0,9182.84
-3.01,-18.0,-0.66,-0.75,22.96,1.61,7.0,9184.57
-2.64,-23.0,-0.85,-0.84,22.36,0.4,7.0,9156.84
-3.13,-24.0,-0.76,-0.85,21.94,0.46,7.0,9164.35
-2.3,-23.0,-0.85,-0.9,24.66,1.26,7.0,9151.08
-2.35,-21.0,-0.82,-0.85,24.36,0.95,7.0,9167.23
-3.18,-29.0,-0.94,-0.95,18.86,-1.62,7.0,9162.12
-1.82,0.0,-0.56,-0.39,20.15,11.83,8.0,9194.85
-1.96,-2.0,-0.58,-0.33,19.31,12.07,8.0,9193.53
-1.72,-4.0,-0.55,-0.29,19.77,12.14,8.0,9195.43
-2.35,-7.0,-0.6,-0.67,21.38,4.65,8.0,9185.37
-2.4,-22.0,-0.88,-1.04,24.5,0.99,8.0,9150.57
-2.76,-22.0,-0.78,-0.64,23.99,0.41,8.0,9162.5
-2.42,-9.0,-0.62,-0.73,21.95,4.72,9.0,9180.28
-2.57,-22.0,-0.8,-0.84,24.89,1.19,9.0,9146.64
-1.09,16.0,-0.65,-0.55,15.55,6.54,10.0,9160.46
-1.79,-16.0,-0.72,-1.1,21.19,8.91,10.0,9166.78
