vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Open
-4.21,2.0,0.61,-0.21,11.75,20.66,-39.0,9275.94
-4.71,3.0,0.74,-0.06,11.06,20.69,-35.0,9288.08
-3.61,-3.0,0.61,-0.23,11.88,22.62,-42.0,9276.24
-4.76,4.0,0.75,0.09,11.34,22.72,-39.0,9286.54
-3.43,-4.0,0.57,-0.22,11.67,22.78,-37.0,9271.38
-3.66,-4.0,0.6,-0.21,11.82,22.53,-35.0,9275.24
-3.83,-4.0,0.26,-1.26,11.0,20.45,-18.0,9239.5
-3.96,-5.0,0.39,-0.65,12.27,22.12,-32.0,9249.84
-4.36,7.0,0.8,0.17,11.76,20.94,-45.0,9288.95
-4.21,7.0,0.68,-0.08,12.53,21.16,-43.0,9280.24
-3.93,-7.0,0.25,-1.1,12.07,21.68,-21.0,9241.61
-3.81,-7.0,0.31,-1.3,10.21,21.4,-14.0,9234.06
-3.81,-8.0,0.4,-1.04,10.1,20.36,-14.0,9249.74
-5.26,9.0,1.03,0.79,11.51,23.14,-40.0,9311.12
-5.06,9.0,1.0,0.69,11.62,23.26,-34.0,9308.37
-5.01,9.0,1.0,0.65,11.54,23.08,-33.0,9307.71
-3.88,-9.0,0.35,-0.66,12.07,22.76,-28.0,9248.22
-3.81,-9.0,0.18,-1.5,10.93,22.41,-11.0,9235.69
-4.41,10.0,0.9,0.77,10.46,21.69,-42.0,9296.63
-5.18,10.0,0.96,0.77,11.5,22.84,-43.0,9304.14
-3.88,-10.0,0.28,-0.98,12.22,21.9,-26.0,9242.45
-3.53,-10.0,0.4,-1.05,8.9,17.06,-10.0,9250.31
-4.61,11.0,0.85,0.65,10.86,22.54,-39.0,9293.28
-4.98,11.0,0.96,0.76,11.12,22.82,-41.0,9305.52
-4.88,11.0,1.02,0.86,11.45,23.09,-38.0,9309.94
-4.56,13.0,0.95,0.85,9.91,20.48,-41.0,9302.78
-5.18,13.0,1.15,1.07,11.41,22.89,-33.0,9323.19
-4.48,14.0,1.06,0.95,9.56,18.95,-36.0,9314.43
-4.56,17.0,1.08,1.02,9.7,19.62,-43.0,9316.22
-4.83,18.0,1.16,1.08,9.77,20.09,-39.0,9325.48
-5.01,21.0,1.19,1.32,7.84,17.94,-29.0,9330.62
-4.71,22.0,1.24,1.27,9.48,18.48,-36.0,9333.62
-5.18,24.0,1.33,1.47,7.98,18.37,-27.0,9344.15
-5.06,24.0,1.22,1.39,7.83,17.49,-28.0,9334.43
-4.61,24.0,1.33,1.5,8.3,18.54,-34.0,9342.43
-4.51,24.0,1.32,1.5,8.18,19.2,-30.0,9341.43
-4.51,24.0,1.25,1.39,8.6,18.75,-32.0,9334.3
-4.76,24.0,1.34,1.51,9.42,18.66,-36.0,9343.91
-4.73,26.0,1.38,1.61,8.13,18.88,-26.0,9347.18
-5.01,27.0,1.27,1.52,7.71,17.34,-28.0,9338.39
-4.51,27.0,1.31,1.41,9.08,19.07,-35.0,9340.4
-4.46,27.0,1.27,1.39,9.08,19.07,-36.0,9336.4
-4.61,30.0,1.22,1.5,7.63,16.37,-25.0,9334.23
-4.96,30.0,1.3,1.53,7.71,16.8,-27.0,9341.01
-4.18,30.0,1.15,1.58,6.86,14.27,-18.0,9328.33
