MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice
60,RL,65.0,8450,CollgCr,7,5,2003,2003,VinylSd,VinylSd,196.0,Gd,TA,No,GLQ,706,Unf,0,150,856,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,Attchd,2003.0,RFn,2,548,TA,TA,0,61,0,0,0,0,0,2,2008,WD,208500
20,RL,80.0,9600,Veenker,6,8,1976,1976,MetalSd,MetalSd,0.0,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,Attchd,1976.0,RFn,2,460,TA,TA,298,0,0,0,0,0,0,5,2007,WD,181500
60,RL,68.0,11250,CollgCr,7,5,2001,2002,VinylSd,VinylSd,162.0,Gd,TA,Mn,GLQ,486,Unf,0,434,920,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,Attchd,2001.0,RFn,2,608,TA,TA,0,42,0,0,0,0,0,9,2008,WD,223500
70,RL,60.0,9550,Crawfor,7,5,1915,1970,Wd Sdng,Wd Shng,0.0,TA,Gd,No,ALQ,216,Unf,0,540,756,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Detchd,1998.0,Unf,3,642,TA,TA,0,35,272,0,0,0,0,2,2006,WD,140000
60,RL,84.0,14260,NoRidge,8,5,2000,2000,VinylSd,VinylSd,350.0,Gd,TA,Av,GLQ,655,Unf,0,490,1145,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,Attchd,2000.0,RFn,3,836,TA,TA,192,84,0,0,0,0,0,12,2008,WD,250000
50,RL,85.0,14115,Mitchel,5,5,1993,1995,VinylSd,VinylSd,0.0,Gd,TA,No,GLQ,732,Unf,0,64,796,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,Attchd,1993.0,Unf,2,480,TA,TA,40,30,0,320,0,0,700,10,2009,WD,143000
20,RL,75.0,10084,Somerst,8,5,2004,2005,VinylSd,VinylSd,186.0,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,2004.0,RFn,2,636,TA,TA,255,57,0,0,0,0,0,8,2007,WD,307000
60,RL,,10382,NWAmes,7,6,1973,1973,HdBoard,HdBoard,240.0,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,Attchd,1973.0,RFn,2,484,TA,TA,235,204,228,0,0,0,350,11,2009,WD,200000
50,RM,51.0,6120,OldTown,7,5,1931,1950,BrkFace,Wd Shng,0.0,TA,TA,No,Unf,0,Unf,0,952,952,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,Detchd,1931.0,Unf,2,468,Fa,TA,90,0,205,0,0,0,0,4,2008,WD,129900
190,RL,50.0,7420,BrkSide,5,6,1939,1950,MetalSd,MetalSd,0.0,TA,TA,No,GLQ,851,Unf,0,140,991,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,Attchd,1939.0,RFn,1,205,Gd,TA,0,4,0,0,0,0,0,1,2008,WD,118000
20,RL,70.0,11200,Sawyer,5,5,1965,1965,HdBoard,HdBoard,0.0,TA,TA,No,Rec,906,Unf,0,134,1040,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Detchd,1965.0,Unf,1,384,TA,TA,0,0,0,0,0,0,0,2,2008,WD,129500
60,RL,85.0,11924,NridgHt,9,5,2005,2006,WdShing,Wd Shng,286.0,Ex,TA,No,GLQ,998,Unf,0,177,1175,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,BuiltIn,2005.0,Fin,3,736,TA,TA,147,21,0,0,0,0,0,7,2006,New,345000
